player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
16163644,Jayant Parkhi,3067975,Royal Warriors,8,8,140,48,28.00,3,112.90,124,RHB,3,10,0,0
3683944,Prashant Puri,3067979,PHOENIX,8,7,81,21,16.20,2,124.62,65,RHB,1,9,0,0
17814423,Amit Karande,12032999,Deccan Knights,6,6,79,32,15.80,1,146.30,54,RHB,4,8,0,0
19940642,Dinesh Patil Rahul Arcus,3980744,Vikings,7,7,76,44,15.20,2,143.40,53,RHB,0,10,0,0
2290558,Rohit V Abbigeri,3067979,PHOENIX,8,8,75,23,10.71,1,96.15,78,RHB,2,7,0,0
1365178,Omkar Sinha,3980746,Royal Challengers,9,9,71,18,10.14,2,82.56,86,RHB,2,4,0,0
2124876,Pushkar Sinha,3980746,Royal Challengers,9,8,63,36,10.50,2,91.30,69,RHB,1,5,0,0
16132644,Swapnil Matte,3980744,Vikings,7,7,62,24,10.33,1,84.93,73,RHB,1,6,0,0
20288476,Sarvesh Desai,3980744,Vikings,7,7,60,23,8.57,0,81.08,74,RHB,3,3,0,0
20121723,Jemin Mistry,3067975,Royal Warriors,8,8,60,20,8.57,1,111.11,54,RHB,2,5,0,0
1519669,Ajit,3980746,Royal Challengers,9,9,60,17,7.50,1,70.59,85,RHB,2,3,0,0
2638892,Siddhanth Parekh,3067973,MAVERICKS,6,6,59,16,9.83,0,71.08,83,RHB,2,3,0,0
43281347,Mandar Hanchate,3067975,Royal Warriors,8,6,58,18,11.60,1,96.67,60,RHB,1,4,0,0
19941285,Vinit Karande,3067975,Royal Warriors,8,8,58,21,14.50,4,92.06,63,LHB,3,3,0,0
6521732,Gaurav Pillai,3067980,STRIKERS,6,6,57,19,9.50,0,80.28,71,RHB,1,4,0,0
8745736,Vishal Ratan Singh,3067973,MAVERICKS,6,6,52,26,10.40,1,152.94,34,RHB,3,5,0,0
850817,Hrishikesh Joshi,3067980,STRIKERS,6,6,45,21,9.00,1,88.24,51,RHB,2,2,0,0
16593052,Nishant Zunzunwala,3067980,STRIKERS,6,6,45,18,7.50,0,95.74,47,LHB,1,4,0,0
10395215,Amol Khodke,3067979,PHOENIX,8,7,44,17,7.33,1,86.27,51,RHB,1,4,0,0
10654571,Arun Raghuwanshi,12032999,Deccan Knights,6,6,38,20,6.33,0,122.58,31,RHB,2,3,0,0
33119034,Laxmikant Mane,3980744,Vikings,7,6,37,15,7.40,1,92.50,40,RHB,0,4,0,0
4746732,Aradhya Deshmukh,3067980,STRIKERS,6,6,35,20,7.00,1,100.00,35,RHB,0,4,0,0
24593819,Khantil Dixit C1102 Rahul Arcus,3980746,Royal Challengers,9,7,33,22,5.50,1,89.19,37,RHB,0,3,0,0
25228565,Bni Orion Ashay Agarwal,12032999,Deccan Knights,6,6,30,15,5.00,0,60.00,50,RHB,0,1,0,0
